id_oglasa,naslov,tip_nepremicnine,stevilo_sob_opis,stevilo_sob,cena,valuta,m2,leto_gradnje,nadstropje,opis_kratek,opis_poln,regija,upravna_enota,obcina,naselje,url_oglasa
7383825,"ZUPANČIČEVA JAMA, CENTER",Stanovanje,"2,5-sobno",2.5,1100.0,EUR,60.0,1965,4/4,"60 m2, 2,5-sobno, zgrajeno l. 1965, adaptirano l. 2023, 4/4 nad., Oddamo 2,5-sobno stanovanje in garažo v Župančičevi ja...","Stanovanje z garažo
Oddamo lepo urejeno 2,5-sobno stanovanje z garažo v mirni soseski Župančičeva jama, 5 min peš do glavne železniške in avtobusne postaje in 10 min do centra.
Stanovanje se nahaja v 4. nadstropju , ki je hkrati najvišje nadstropje bloka. Blok je brez dvigala, miren in lepo vzdrževan.
Stanovanje meri 60 m² in obsega:
Stanovanje je poono opremljeno s pohištvom po meri . Stanovanje ima pralni stroj, pečico, pomivalni stroj in klimo.
Stanovanju pripada tudi parkirno mesto v garaži čez cesto - možen najem tudi garaže.
Iščemo mirne, skrbne in zanesljive najemnike . Živali niso dovoljene.
Stanovanje bo na voljo predvidoma od 1. 9. dalje.
.",LJ-mesto,Lj. Bežigrad,Ljubljana,Zupančičeva jama,https://www.nepremicnine.net/oglasi-oddaja/zupanciceva-jama-center-stanovanje_7383825/
6988009,AJDOVŠČINA,Stanovanje,Soba,,170.0,EUR,15.0,2002,P,"15 m2, soba, zgrajena l. 2002, pritličje, oddamo. Cena: 170,00 EUR/mes","V urejenem samskem domu na dostopni lokaciji v Ajdovščini oddamo ležišče v sobi, ki ima souporabo kuhinje s še eno sobo.
Soba je več posteljna (3-4 ležišča)
Parkiranje pred stavbo.
Cena: 160 EUR za ležišče v večposteljni sobi (2 - 4 osebe) na mesec z vključenimi stroški.
Možna prijava prebivališča.
VABLJENI NA OGLED!",S.Primorska,Ajdovščina,Ajdovščina,Ajdovščina,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_6988009/
6988010,AJDOVŠČINA,Stanovanje,Soba,,190.0,EUR,15.0,2002,P,"15 m2, soba, zgrajena l. 2002, pritličje, oddamo. Cena: 190,00 EUR/mes","V urejenem samskem domu na dostopni lokaciji v Ajdovščini oddamo ležišče v sobi, ki ima souporabo kuhinje s še eno sobo.
V sobi sta 2 ločeni ležišči
Parkiranje pred stavbo.
Cena: 180 EUR za ležišče na mesec z vključenimi stroški.
Možna prijava prebivališča.
VABLJENI NA OGLED!",S.Primorska,Ajdovščina,Ajdovščina,Ajdovščina,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_6988010/
6988011,AJDOVŠČINA,Stanovanje,Soba,,220.0,EUR,15.0,2002,P,"15 m2, soba, zgrajena l. 2002, pritličje, oddamo. Cena: 220,00 EUR/mes","V urejenem samskem domu na dostopni lokaciji v Ajdovščini oddamo sobo, ki ima souporabo kuhinje s še eno sobo.
V sobi je 1 ležišče.
Parkiranje pred stavbo.
Cena: 210 EUR na mesec z vključenimi stroški.
Možna prijava prebivališča.
VABLJENI NA OGLED!",S.Primorska,Ajdovščina,Ajdovščina,Ajdovščina,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_6988011/
7350073,AJDOVŠČINA,Stanovanje,2-sobno,2.0,650.0,EUR,59.4,1959,,"59,4 m2, 2-sobno, zgrajeno l. 1959, oddamo. Cena: 650,00 EUR/mes","V centru Ajdovščina oddamo prijetno in moderno opremljeno dvosobno stanovanje, ki se nahaja v 3. nadstropju večstanovanjske stavbe. Stanovanje je svetlo, funkcionalno razporejeno ter primerno za največ dve osebi.
Pred stavbo je zagotovljeno parkiranje, lokacija pa omogoča hiter dostop do vse potrebne infrastrukture v centru mesta.
Stanovanje je v celoti opremljeno. Vseljivo takoj.
Pogoji najema:
Cena: 650,00 EUR/mesec + tekoči stroški
Za dodatne informacije ali ogled, pokličite 051/212-591 (Kati) ali ajdovscina@svet.",S.Primorska,Ajdovščina,Ajdovščina,Ajdovščina,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_7350073/
7310094,AJDOVŠČINA,Stanovanje,"3,5-sobno",3.5,1200.0,EUR,105.0,2024,4/4,"105 m2, 3,5-sobno, zgrajeno l. 2024, 4/4 nad., Varščina za najem nepremičnine, oddamo. Cena: cca 1.200,00 EUR/mes",,S.Primorska,Ajdovščina,Ajdovščina,Ajdovščina,https://www.nepremicnine.net/oglasi-oddaja/ajdovscina-stanovanje_7310094/
7398180,"AJŠEVICA, NOVA GORICA",Stanovanje,"3,5-sobno",3.5,850.0,EUR,85.0,2019,P/1,"85 m2, 3,5-sobno, zgrajeno l. 2019, P/1 nad., oddamo. Cena: 850,00 EUR/mes",,S.Primorska,Nova Gorica,Nova Gorica,Ajševica,https://www.nepremicnine.net/oglasi-oddaja/ajsevica-nova-gorica-stanovanje_7398180/
7414275,ANKARAN,Stanovanje,Garsonjera,,700.0,EUR,24.0,2025,2/2,"24 m2, garsonjera, adaptirana l. 2025, 2/2 nad., oddamo. Cena: cca 700,00 EUR/mes","Ankaran sončni park.
S 1.9.2026 bo na voljo garsonjera, primerna za eno osebo, pogojno za dva študenta.
Nizki obratovalni stroški pozimi ne presežejo 150,00€.
Parkiranje možno pred blokom ali na bližjem večjem brezplačnem parkirišču.
Domače živali dovoljenje.
Varščina 1000,00€.
Prosim pošljite sms in vam vrnem klic. Tel. 040757499.",J. Primorska,Koper,Ankaran,Ankaran,https://www.nepremicnine.net/oglasi-oddaja/ankaran-stanovanje_7414275/
7394440,ANKARAN,Stanovanje,2-sobno,2.0,990.0,EUR,50.0,1990,1/1,"50 m2, 2-sobno, zgrajeno l. 1990, 1/1 nad., oddamo. Cena: 990,00 EUR/mes","V Ankaranu posredujemo pri oddaji 2-sobnega stanovanja, ki se nahaja v večstanovanjski hiši. Odlična lokacija ponuja vso potrebno infrastrukturo, od centra Ankarana je stanovanje oddaljeno 2,1 km kjer se nahajajo trgovina, restavracije, bolnišnica, vrtec, šola. Plaža in številne rekreacijske poti so v neposredni bližini. Od mejnega prehoda Lazaret je oddaljeno 1,8 km.
Svetlo stanovanje, orientirano na JZ, obsega predsobo, opremljeno kuhinjo z jedilnim kotom, dnevno sobo, ki ima dva izhoda na dve terasi s prečudovitim pogledom na morje, kopalnico ter spalnico z izhodom na teraso. Stanovanje ima ločen vhod. Pred hišo je eno pripadajoče parkirno mesto in ni možnosti parkiranja za dodaten avtomobil, zato se stanovanje primarno oddaja za eno osebo. Stanovanje se oddaja za redno bivanje in ne v tursitične namene ali kratkoročne oddaje.
Ogrevanje na centralno kurjavo - toplota črpalka in klimatsko napravo, ki omogoča tudi hlajenje. Stroški so odvisni od porabe.
Pogoji najema: primerno za posameznika,  varščina v višini dveh najemnin, vseljivo takoj, sklepanje najemne pogodbe dolgoročno za najmanj 12 mesecev.
POGOJ NAJEMODAJALCA ZA SKLENITEV POSLA: Pogoj najemodajalca za sklenitev najemne pogodbe je, da najemnik prevzame del stroškov priprave dokumentacije za sestavo najemne pogodbe, sestave najemne pogodbe, sestave primopredajnega zapisnika in izvedbe primopredaje nepremičnine, sodelovanja pri prepisu naročnin oz. obveščanja upravnika in dobaviteljev o sklenjenem najemnem razmerju, priprave in hrambe listin ter slikovnega gradiva in pravnega svetovanja pri sklepanju najemnega razmerja (+ DDV).
Za pogodbe o posredovanje v prometu z nepremičninami, ki jih sklepajo med seboj  gospodarski subjekti/pravne osebe - v primeru sklenitve najemne pogodbe, najemnik prevzame v plačilo agencijske stroške v višini ene najemnine + DDV.
V primeru zanimanja nas kontaktirajte; Agentka Katja Šafar Mušič, Tel.: 00386-40-626-229, E-mail: ksafar@bazarealestate.com.
Lepo vabljeni k ogledu.",J. Primorska,Koper,Ankaran,Ankaran,https://www.nepremicnine.net/oglasi-oddaja/ankaran-stanovanje_7394440/
7389059,"ANKARAN, ZELENA OAZA 2000",Stanovanje,1-sobno,1.0,1000.0,EUR,52.2,2000,P/2,"52,2 m2, 1-sobno, zgrajeno l. 2000, adaptirano l. 2021, P/2 nad., Novejše, prenovljeno in opremljeno stanovanje na izred...","Prostorska zasnova : Vhod v zastekljen balkon kot atrij, velika bivalna dnevna soba, odprta kuhinja s šankom, garderobni hodnik, kopalnica, manjša spalnica.
Več podrobnosti na spodnji povezavi do oglasa.
Ponudba je v ekskluzivni posredniški oddaji in je brez stroškov posredovanja za najemnika.
Obala nepremičnine ... že 25 let.",J. Primorska,Koper,Ankaran,Ankaran,https://www.nepremicnine.net/oglasi-oddaja/ankaran-zelena-oaza-2000-stanovanje_7389059/
6934995,APNENIK PRI BOŠTANJU,Stanovanje,2-sobno,2.0,650.0,EUR,75.0,2014,,"75 m2, 2-sobno, zgrajeno l. 2014, oddamo. Cena: 650,00 EUR/mes","V apartmajski hiši na Apneniku pri Boštanju oddamo dvo sobni apartma, opremljen za dve osebi. Apartma se nahaja v pritličju hiše, ima odprt tloris kuhinje in dnevne sobe z izhodom na zelenico pred hišo. Poleg omenjenih dnevnih prostorov obsega apartma še spalnico in kopalnico. V kletni etaži je na voljo manjša shramba. Centralno ogrevanje je na plinsko peč. Parkiranje je omogočeno pred hišo. Apartma je v celoti kvalitetno opremljen in urejen. Išče se resni najemnik, ki spoštuje pogoje najema; možnost najema za daljši čas. Hiša se nahaja v mirnem, naravnem okolju, tako da najemniku omogoča bivanje brez stresa in hrupa iz okolice. Poleg mesečne najemnine se plačujejo tudi režijski stroški (elektrika, komunala, plin, ...) glede na dejansko porabo. Plačilo varščine obvezno.",Posavska,Sevnica,Sevnica,Apnenik pri Boštanju,https://www.nepremicnine.net/oglasi-oddaja/apnenik-pri-bostanju-stanovanje_6934995/
6900330,APNENIK PRI BOŠTANJU,Stanovanje,"2,5-sobno",2.5,650.0,EUR,75.0,2014,,"75 m2, 2,5-sobno, zgrajeno l. 2014, oddamo. Cena: 650,00 EUR/mes","V apartmajski hiši na Apneniku pri Boštanju oddamo dvoinpol sobni apartma, opremljen za dve osebi. Apartma se nahaja v mansardi hiše, ima odprt tloris kuhinje in dnevne sobe z izhodom na prostorno teraso. Poleg omenjenih dnevnih prostorov obsega apartma še spalnico, kabinet in kopalnico. V kletni etaži je na voljo manjša shramba. Centralno ogrevanje je na plinsko peč. Parkiranje je omogočeno pred hišo. Apartma je v celoti kvalitetno opremljen in urejen. Išče se resni najemnik, ki spoštuje pogoje najema; možnost najema za daljši čas. Hiša se nahaja v mirnem, naravnem okolju, tako da najemniku omogoča bivanje brez stresa in hrupa iz okolice. Poleg mesečne najemnine se plačujejo tudi režijski stroški (elektrika, komunala, plin, ...) glede na dejansko porabo.",Posavska,Sevnica,Sevnica,Apnenik pri Boštanju,https://www.nepremicnine.net/oglasi-oddaja/apnenik-pri-bostanju-stanovanje_6900330/
7266683,AUGUST SENOA,Stanovanje,1-sobno,1.0,1100.0,EUR,60.0,1929,,"60 m2, 1-sobno, zgrajeno l. 1929, oddamo. Cena: 1.100,00 EUR/mes",,Mesto Zagreb,VSE,Zagreb-mesto,August Senoa,https://www.nepremicnine.net/oglasi-oddaja/august-senoa-stanovanje_7266683/
7372597,AUGUST SENOA,Stanovanje,1-sobno,1.0,1500.0,EUR,89.0,1907,,"89 m2, 1-sobno, zgrajeno l. 1907, oddamo. Cena: 1.500,00 EUR/mes","Oddaja se dvosobno stanovanje v Mihanovićevi ulici. Stan se nahaja v drugem nadstropju od skupno treh nadstropij stavbe brez dvigala. Sestavlja se iz dnevne sobe, jedilnice povezane s kuhinjo, spalnice z izhodom na balkon, lastne kopalnice s straniščem, walk-in omare, dodatnega gostinskega stranišča, ločenega prostora za pralnico ter vhodnega prostora. Stan se oddaja opremljen. Na voljo takoj.",Mesto Zagreb,VSE,Zagreb-mesto,August Senoa,https://www.nepremicnine.net/oglasi-oddaja/august-senoa-stanovanje_7372597/
